,0
0,-106.4506378685123
1,436.4285103064705
2,202.54550053558512
3,804.5484509255932
4,-191.62942856982596
5,-1372.4304013765418
6,-87.77800846863971
7,-309.005954435908
8,252.02357534558038
9,1609.8924423019735
10,287.9291241008407
11,1491.5018843269559
12,-902.616452151077
13,-795.0084220416007
14,1171.859477620784
15,-843.9020670414752
16,637.036077197948
17,-12.561645695774871
18,887.4088027269787
19,44.92662677531521
20,-1693.610416754851
21,-32219.19013061284
22,-9896.567279734274
23,-901.4704440193763
24,-2353.213369479512
25,47.99815632575461
26,151.3249331785019
27,432.0767239045248
28,435.48748601256165
29,-156.1688917327799
30,1067.3823372289353
31,1429.7259364770289
32,-1010.0944326833587
33,417.70229790408393
34,453.4163333799717
35,1595.8548954369999
36,-4935.111827181886
37,-10188.410721997743
38,1017.748738337376
39,-1883.4062807799128
40,702.383696558509
41,-598.781110944604
42,1663.4354864237635
43,985.3740697178255
44,4.730722622433376
45,-376.8991582416624
46,-4791.698821268332
47,94980.04489510898
48,55954.59267542178
49,-50143.640438868315
50,-3340.8127847050487
51,27412.028293912812
52,-12796.84146305035
53,9545.850471479926
54,-284410.7621605215
55,17795.99561203003
56,-9972.570942489874
57,-21803.437816121044
58,-2947.7404551780055
59,-18416.715159730335
60,-30816.89258965797
61,14705.205753688191
62,2344.13515596262
63,-3587.772082575617
64,-1081.6005864095137
65,356.36746818241966
66,-70749.04320586045
67,240.21392233040305
68,-12361.909665180683
69,-17558.975352592835
70,-109987.168794306
71,3126.5237365571556
72,-12369.441448602352
73,1403.8933883571126
74,-6.054149181420996
75,-6815.680252026161
76,-3567.9789225330715
77,-1277.3854955752163
78,-608.6518030925699
79,-3776.566907975027
80,-3051.47285704249
81,-1668.8368213092372
82,-2575.3244672669716
83,-15152.314817431949
84,1321.046537041135
85,4346.1011031430635
86,3899.4435221649974
87,15965.605058371279
88,15635.46365944986
89,-17574.016187728615
90,-2834.779928289345
91,249.30527175414443
92,-1175.1886286348831
93,1477.4108500595053
94,-281.0542289979055
95,979.8192531954255
96,352.98354693172973
97,-1187.0731627093114
98,-1231.8965079990737
99,159.31736772277333
100,-620.972219710863
101,-3571.945111035334
102,222.31245830668954
103,-1079.4582255290786
104,1973.481273115668
105,1164.6294547381406
106,-2855.818216880418
107,465.34433985734285
108,514.4459068932433
109,3372.7918172304553
110,1334.9890605166472
111,-516.1204164451195
112,323.4459106976349
113,-54.49840546186695
114,144.57790690618555
115,-80.70704328148454
116,-9326.578638887166
117,630.190767254338
118,2574.988752877641
119,693.8769378506797
120,430.23858257190415
121,-2521.54786446668
122,2324.4651912099566
